ID,specifypositive_April2020,specifypositive_May2020,specifypositive_Nov2020,specifypositive_April2021
6d4a9d7a,,Positive relationships,,
6dacd788,Less anxious because he's home not at school,He has autism so isn't as stressed about going to school is also less anxious,,
6db442c5,,more one on one teaching,it make it easier to keep track of his school work,He's is on adhd med and because of that has trouble putting on weight. hes finally put on a little bit of weight
6dc40f47,Not as scheduled or spread thin; parents home all day,,,
6e661f23,,,,
6e842834,off school,,,
6e9d3d69,,,,
6f15ea17,,"More family time spent together, more reading done and more family meals eaten together",Eating together more as a family,More time spent together as a family.
6f47b539,,,,
6f7cb5a8,,More sharing with her parents,More time with parents,Family life
6fd02cd8,,,More family time,More family time
6fd04958,HE WON'T LEAVE THE HOUSE AT ALL,,much happier being at home not in the school environment.,progressed fast with learning at home
7033ce3b,,,,More family time
706a4ebf,Isolation,My son is enjoying having more time with his parents.,We are now closer.,"Better appreciation of family, friends and not taking the small things for granted."
70770a3d,,Regular contact with friends via video call,She uses video calling to speak to her friends more,She now connects with her friends more online.
70ac6873,Being able to stay at home with family,,,Less demand therefore happier and more content 
72483d08,She is content staying home.,Spend more time with the family,He is doing better home since he was in school.,He gets more help with his homework.
72b3ab27,More family time with self and parents,More time with parents,More time with me has benefitted her,Closer family bonds
72e3bc33,,,,
730abe5f,,,,
73192269,,,,More time spent together as a family 
7334e2e9,,,,More family time
734d2edc,seeing more of dad as working from home,Learning more from home,Learning from home,Learning from home
738459f7,more exercise,Washes hands more often,sports were cancelled and changed,did not play basketball this year
738bc8eb,,,"More exercise, better relationship with family and new job",
73a155fc,"Now that I work from home, I have been spending more time with my daughter.",My daughter is focusing more on her studies since she now rarely leaves the house.,,
73d33591,,,my son's grades have improved,better grades
74925a6c,,,,
74a0392d,more time as a family,Spending more time with family,More time together as a family with both parents working from home almost 100%,More family time. Learning resilience
74b13cfc,Spending more time with dad,"More screen time than usual, more flexability, no school uniform , more food to eat during the day, more breaks  and play time with his brother",,more time together
74c27182,,,,
75140eea,Home schooling,No school,Time off school.,"Less traffic, less train crowding."
75472bba,,,Spending more time with famil,More time with my daughter
754d7c67,I'm home instead of working out of the house so we are spending more time as a family.,I'm working from home so we spend more time as a whole family,,
756ab423,,,,
758fd0aa,,,,
760450ca,"I enjoy being with my kids more, we do a lot of stuff together, but I think she misses her school and her teacher.",,"we spend more time with each other, we do things together",More time spent together with our family
761030bc,,,,
76a405c8,,,,
76a4c1f0,,he looks forward to the clapping for the NHS,,
76f13e69,Seeing more of their mum who is now able to work from home. Before exercise was taken for granted but now they look forward to getting their daily exercise,Making the most of the daily exercise still instead of wanting to stay in front of a computer screen. Happy to be out in the garden more weather permitting.,"Had more family time at home, more fun at home too",More time with family and better relationship with their sibling
771f483d,,,,
775f0bd2,,,,
779d51aa,,More time with family,,
77c3ec45,,,,
77d62275,,,,
7845251d,,,,
784b3343,,,,
78526a98,,,,
7860817a,More time at home with family,More time spent with parents,More time spent with parents.,More time spent enjoying outdoor exercise with parents
786c982d,,more time with us at home,,
78936be6,,,More family time,"It has encouraged him to partake in more outdoor activities, with friends, when the government have allowed it."
78e619ac,"the road we live on isn't as busy, we have more time to spend together, we spend more time playing card games in the garden, we relish walking the dog each evening instead of it being a chore","the road we live on is quieter, we are spending a lot of time together enjoying the lovely weather in the garden, I am unable to work so I am available more for him, we have more time to spend just being as we are not rushed","better bond with mother over the time spent in lockdown, more creative use of time at home such as art and reading rather than always computers","I was furloughed from the job I had before the pandemic and my son was home from school so we had a long, warm spring and summer to spend together in the garden and walking round our local area with the dog. We used the time to get our relationship back on track which had suffered somewhat due to a previous abusive relationship which had ended in the October before the pandemic. Our relationship is much better because of the time we got to spend together in the lockdown"
792efc46,Communityspirit ,"More time in his pyjamas, he loves being home not at school, more time in the garden and with his pets. We did a food shop with loads of treats we dont usually buy so hes happy","Quality time, less stress, refocused goals, lots of epiphanies, strength in my own independence",More excercise
794640cc,,,More family time.,More time with family
7964edda,,"handwashing, exercise,",she felt calmer working online and not having o deal with social school issues,
79e8c653,Diet ,,,Family time
7a039fce,Playing outdoors in the garden more,Playing with younger sister much more,Closer to sibling,spending more time together
7a8ca647,,,No exams,
7aa096ea,"Self responsibilty for his own actions, doing his bit",More responsible,"Continues to work part time as well as study.  New appreciation for his family, especially grandparents",Less anxiety
7b1846f0,the symptoms of it.,,,
7b7e7d9b,"He is playing outside more, and spending more time with his grandmother",More time with his parents and grandmother,,More time home with family.
7b8dcef6,more playtime at home with his parents,he can play more video games and have frequent breaks from schooling,exercising outside more often,we had a chance to spend more time together as a family
7bfd6391,,,,
7c1b8f5d,,We have spent a lot of time together,,
7d62f70c,"I am home more often due to reduction in work hours, plus working from home!",More time with me!,Greater time with parents due to home working,Increased time with the family; a return to time spent outdoors; home schooling allowed targeted progress rather than working at the speed of the slowest
7e09f8ff,,,,
7e724930,They are more happier being at home than school,They are happy because they dont have to go to school which has made a massive positive difference to their mental health,,
7e814804,,,,
7ef37ac8,,Daily exercise,Washing hands,
7efff55c,More family time and he's able to explore deeper questions and more science for him to learn,More family time and less school stress,More at home time with parents.,"More family time, he gets to have more free/play time. Can do school work quickly without having to wait on others."
7f9e12a5,more time to play outside in garden,,"More time outside, appreciating going for a walk/cycle/scooter ride",
7fb490c4,more readhing time and family time,a lot more family time together,,spend more time as family
7fc16224,Bed time routine ,Interacting with me more. Coming on walks/bike ride,"Lots of outdoor walks, bike rides",More time outside. New hobbies
7fc34dc0,,,He has been able to spend more time with his grandmother.,I've gotten to spend more time with my family.
7fcc149c,Spending more time together with a family,,She became very independent with her home works,My child spending more time with the family
7ffb475a,,,More time with siblings and parents,more time with family
8010a056,,,,
80495dbf,Reduced pressures due to closure of schools,,,
808dcf1e,More family time spent together.,,Motivation to work on my  own businesses.,
80a6a68b,,,,
80f84aae,Happy with mummy and daddy at home. ,Happy being at home with mummy and daddy,With home schooling she's learned more at home than she would have at school ,Much happier being home schooled. Got to see more of her dad with him working from home
810dd3b9,,,,Spending more quality time with immediate family
81426a81,,,,New house
81f4232a,We have lunch together daily since I work from home now. More family time.,We have more family time and family dinners.,More family time,More family time has been fun.
8267c0eb,,,,
829e4241,,More time with family,"Spending more time with his family, learning more things in school",more family time
82a6d2cc,,,,
8343a327,,,,
836a3216,,,Having more time with family,Spent more time with family
8370233c,,Spending more time with family,They have become more independent.,She has learned a lot about herself and I think her self confidence has grown.
8371b40f,,,,
838d9b7b,More time with mother,More time with his parents,more time with parents,More time with family
841f2047,,,,Less school anxiety
84572817,,,,
84639469,Working out more,Spending more time with family,spending more time together bonding,"New and enriching hobbies such as sewing, baking and drawing"
84aca67d,More family time!,,more family time,"more family time, good education, lots of family adventures"
84d2989f,Spends more time talking,,,
850bd5c6,,,,
852213c5,,,More time with immediate family,
85666fb0,She's enjoying home school and getting to spend more time with me and her dad. Shes getting to do activities we don't usually have time for. ,"She's said several times she's enjoying being at home, playing more and not having to wear school uniform",They got to spend a lot more time with us. We exercised a lot together and did more crafts,She got to spend more time with her immediate family and more time outside. 
85f9631e,,,,
863171cf,,,,
86c35736,,,not having to socialise,enjoyed being at home more
870b457a,,,,
87ed18de,,,More time with parents ,
88d72185,,,,
8903d2ca,,,,
89164b3b,,,,
898b4c7f,,More exercise done,More excercise,
89bdf640,Happy his exams (GCSEs) are cancelled,"He's an introvert, so often finds school very socially tiring & is happy to be having a break. Also relieved he will not be taking exams this summer.","He is an introvert, so finds constant socialising at school stressful. Also was very anxious about upcoming exams, which were cancelled. Was able to spend a lot of time at home learning about things that interested him, eg. computers",He is an introvert personality type and can find school stressful. He has been much more relaxed at home under lockdown - but is now enjoying seeing his friends again.
8a15cf0e,,,,
8ab5f2c6,More time at home,He was having problems with bullying at school which is not a problem while he is off. ,Got to miss school when he was having problems there,
8b035700,,"eating more, less stressed",,
8b6a4fe3,,,,
8b9dc971,More exercise and family time,More family time,More family time,More family time
8bdf61d2,Spending more time together,Spending more time together,Spending more time with family,Spending more time at home with family
8c185545,,,,
8c3a663d,,,,
8c456bf2,,Family time,,Closer with family
8c7cc5c0,,Showing her feelings more,,
8c809688,"he talks more to parents and relations, has increased his physical exercise",He is talking more to his relatives,more family bonding,
8c88a5e7,,,,
8c918467,Parents are home more due to the coronavirus,,,
8cea2e90,,,,Spending more time at home with family.
8cef621d,,,,Some more family time when things were locked down
8d8a407a,,,,
8e467404,We have had increased quality family time.,She is really enjoying school from home and the increased family time. We participate in activities like art class that we did not do before.,More quality time with family.,More quality family time
8e70fdd9,,Being able to spend quality time at home together,more quality time as a family,We have had more quality time together as a family
8ef6a9ea,"spending more dedicated time on schoolwork, learning opportunities online that weren't before,  not having to get out of the vehicle for take-out",,,
8f0052be,,,,
8f147cfb,He has acquired some self-motivation due to learning at home.,More time to pursue own interests now that he's doing e-learning.,Dad (me) home more often due to telework.,I am home more often.  But my child did not thrive in the virtual school environment.  He has also not been able to spend as much time with friends.
8f27ce38,,Less anxious from not being at school,,"social distancing makes going out easier for him, less people so he does not feel overwhelmed"
8f3b97fb,,,,
8fe03154,,,More time with family,
8fe4d364,More time to bond with family,Spending more time as a family,,Family bonding time
903f030b,She gets to stay home from school.,More family time since there's no school.,,
90c4b9b3,spending more time with family at home,,,
90c9e37a,More time to explore the outdoors.,He's gained an appreciation for the outdoors.  He's spent a lot of time with his grandparents.,Closer relationship with family ,He discovered his love of nature.  Spending time at my paren't property.
90f6014f,She has become much more motivated to complete her schoolwork assigned from afar.,She is more hygeinic and more aware of why it's imporant to protect other people from being sick.,She's definitely more thoughtful about other people and their safety,"She has learned many things from us this past year, that are from our own knowledge base and interests. She's drawing a lot better, for instance. She has learned a lot more about nature. She also got interested in germs because of COVID and learned about many viruses and the diseases they cause."
910d5b18,More time together,,More support from both parents as not working as much,"Moving to an area with overall better quality of life, nearer to some family but further from other members"
919655ad,,,,
91e7344e,He works full time and has been given lots more hours (Supermarket personal shopper),He enjoys being at home rather than at school!,,She loved remote learning
932b8550,,,We are closer as a family.,We have enjoyed spending extra time together as a family
935ca72d,More family time eating meals together,,More family time,
936644ed,Become more social with his parents,Become more social with members of his household and is doing jobs without complaining.,Spending more time with immediate family,
938dca7f,,More family time,More family time,More family time
948c737c,wont go outside,,,
94995952,,"doing school work from home, exercising as a family",,
949f38de,,,,
94c0914b,,,,being closer as  family
9571179e,,,,we are cooking more at home with healthy ingredients
95b5fe53,More family time,More family time,More time with parents,More family time.
95ba1a0d,,,,less socializing disrupted school lessons disrupt in medical care
95d443df,,,,
9654f220,,,He gets to experience more quality time his mother and me,Spending more time with my wife and me.
96ca0887,,,,
96ce0f86,"Awareness of people who help,",,,Slower pace and more time at home with family
96e8e4a6,"More time outdoors, more time together as a family",More time together; more flexibility in her day; more time outside,less appointments; less scheduled time; no school pressures,My daughter enjoys being homeschooled and being less scheduled
971745a4,Spending more time with family,"no longer rushing to after school clubs, more time at home to do activities w wouldn't normally have time to do",More time to play at home,Spending more time playing at home
9734970a,More family time,More family time,More family time,More family time.
973d6f88,,,,
978d0e68,spending more time with mummy and daddy and having lots of attention,Spending a lot of time with mummy and daddy ,,
97a7203f,,"More time with family, learning to get into a routine and self study",,More time with family which she's enjoyed
98332819,Spending more quality time with family primarily her younger sibling,Better relationship with sibling,Better relationship with sibling due to extra time spent together.,More time spent with siblings and parents
984c7343,Time with sibling,Time with grandparents as self isolating with then to care for father (disabled from stroke),Time with grandparent (as support bubble),More time with Grandma (as her caring responsibilities for husband over as a result of Covid- therefore joined our bubble)
985f0c28,,,,More time spent outdoors.
988f5480,More time reading.,,Enjoying the outdoors,
99c1191d,,,,
9a2d8c3d,,Doing keep fit and eating heathily,,
9a2f2a7a,"school has been very stressful, so she's had a chance to relax, catch up on her sleep and do some things that she enjoys",more time with siblings,more time with family,more time with family
9ac6d434,,More time with parents,"He is more curious about politics, the virus, etc., because he is with parents much more",
9ad202c0,,Less stressed,,
9b28533d,,,,
9b51bbb6,,,,
9b7c65d5,,,,
9bca53c0,,,father working from home,better at being alone
9bfad17e,Shes eating more often which was hard before,,,More understanding and knowledge
9c50b488,,,,
9c8605b5,More time at home with new sibling,More time at home,,
9c95d93a,,,,
9d3a3f65,,,,
9e7369c9,"she doesnt go out much, prefer to stay home and do assignment",She exercises more,Much aware and health conscious,Been able to learn virtually
9f6b05ed,,More time with family,More time with parents,More time with family
9fa4167c,Sanitation,Better attitude,more focus in school,
9fbc27f5,,Time with family and increased focus on education.,Time with family,Family time improved
a02793ed,exercise,More time together ,,
a12205cf,,,More family time,Close bonds with his sibbling
a14fc386,,,,
a21a0e44,,,She has been able to focus on her own needs and not have to do things that she doesn't like doing ie getting changed at school for pe. instead she spends the day in her pe kit. doesn't have to have any physical contact. it's now acceptable for her to stay away from people.,She has become more independent at home in regards to cooking and helping. Plus has been able to spend more time doing things she enjoys rather than having to do school or homework stuff
a2275050,,,More time with family,
a26fcfea,,,,
a2ac7002,more active,,,
a2c79dc3,,,,
a33dc265,,Not eating take aways,more family time together,
a3f22538,More times with family,spending family time together more,More time together,More family time
a4448666,,The time beign rellocated to more outdoor activities,less pressure of in school work,i think it has allowed them to understand prioritization
a4721130,,,,
a4c7e233,,They make more of an effort to keep in contact with family members. As i am still working  we set aside time each evening to spend together as they are home alone while I work. We spend a lot more time watching films together or cooking together and it has helped us become closer.,,
a4e7ce46,"I get to spend more time with her, and she has more time at home than she normally has.",I'm now working from home so able to spend more quality time with my child.,More time spent with parent whilst working and schooling from home.,slower pace of life and more family time together
a4e9e3e9,SPENDING MORE QUALITY TIME TOGETHER,Spending more time together,spending more time as a family,Spending more family time together
a52c2ee6,,,more time with mom,More time with family
a553983b,increased independence regarding learning,they have become more mature and independent,has learned new skills; more active out-doors; increased independence in everyday life and learning,They have become more independent and take more responisbility for their work
a5806ad3,,He gets to sleep in late more and can use online learning,,
a5bf5ba6,,,,More time spent with family!!
a5e1cec7,More time together as a family,building better relationships with members of the household,Closer to family,He's more patient
a65528bf,,More time with us,,
a7062a9e,"Been able to spend more time together, and learn to work with each other much more closely.","We've had much more family time, and been much more active even if only in our backyard and going for short walks (live in fairly rural WI).",we've gotten to spend more time together as a family,"We've gotten much more time together as a family to grow, and bond."
a77cb282,,,,
a7fbe3f5,,,,He has had the chance to connect with friends online via certain video games - which we would not have allowed pre-pandemic.
a8970c99,"more time with family, time to relax and rest",I think we are being able to spend more time together and get to know each other better,a more relaxed take on life for sure,we have spent more time together and gotten to know ourselves a bit better too I think
a94705a8,More family time ,,,
a958f4c5,,Better relationship with parents,Is now a healthy weight due to eating more being at home,
a96729a8,,,,
aa31bcd8,more exercising,Exercise,exercises more,"More time together, exercising and fishing"
aab8fe6a,calmer,,less outside influence,less outside distractions
ab11523d,,,,
ab3599f9,been reading more,,,
aba50341,,Is learning to be more independent and occupy himself more,,
abc4d30e,We are exercising regularly as a family,We spend more time together as a family.  We go out together more for walks/bike rides.,,
aca8cf18,,More quality time as a family since mom is at home currently rather than working full time,more quality time with my family,
acc85119,,,,
ad472c2d,,More family time due to lockdown,Increased family time,More time with immediate family
ad6b4799,more family time,"more family time, more outside play",more family time,family time
ad73d99d,,,,
ad8b5547,,More time spent with family,More time with family,More time with family
adca2923,"One to one time with parents, homeschooling",More time with his sibling at home,Bonding with his little brother,More time with familu
ae0d6fed,"Home made lunch, more time spent at home with her mother ","Home cooked meals, time with family",,
ae367a03,More time with family,More time with family,More time with family,
ae8a0784,,,,spending more time with family
aea8f093,More time with parents,"More family time, schoolwork tailored to his interests",More time with family,More family time
af35a584,,,,
b010078d,,,,
b0122b8f,,,,been able to spend more time with me and vis versa
b049f6f4,His father is at home more to spend time with him,"he has gotten to spend some more time with his dad, who is home from working due to the pandemic. His dad normally travels extensively for work and this is the longest my kids have been able to spend this much time with their dad at one time consequitivly. ",my husband is home now and since he used to travek extensiveley for work now the kids get to spend more time with him.,"My husband, who used to travel extensively for his work, has been home for the past year/+ and our kids have gotten to spend so much time with him."
b04c6a48,,,,
b0bb75ef,I am home more often with him because I was furloughed,School is out for the remainder of the year,,"He has spent more days home 'sick' because the school will not allow him, a child with allergies, to come to school if he is showing any symptoms."
b2881281,,Being much kinder to siblings,A lot more care and sympathy towards others,Closer to the family within the household in a more caring way.
b2abb5cb,"more 1:1 time with my son while he's off school, more wholesome activities like baking, playing in the garden etc","more time as a family, more time outside",time with immediate family,closer with sibling
b2e3b989,,,,
b34f618b,more family time,,more time with us,more family time with us
b39582ef,,,,
b3bdced2,learning new skills e.g. spanish,increased interest in science and activities such cooking,more exercise,
b4662130,He's reading more and showing more interest in exercising. I consider that positive.,more exercising and willingness to try different interests,He shows more interest in other activities.,
b4a61bfa,She had anxiety around going to school. She is much less anxious now that she doesn't have to go.,,,
b4dd98fd,being home in the evenings because her sport was been cancelled.,More free time in the evenings/quieter evenings and family dinners every night,"Less busy/more downtime, found new passions being home (small equipment repair, cycling, side jobs doing yard care)","Life has slowed down some so they have been able to do things that they didn't;t previously have time for and work on projects at home that they may not have done otherwise. One specific project was learning how to repair small engines (lawn mowers, weed eaters, etc) . They became so knowledgeable  that they were able to repair and sell this equipment and also have equipment to start up a yard care business this spring."
b5450e79,More time with family and opportunities to talk and share activities.,Exercise activities,More exercise,
b5cfec8d,No school,,Spending more time with family,We spent more time together
b5db28d6,She is willing to wash her hands more frequently.,more time with her father who usually works a lot,She wanted to homeschool and thats what we do now,
b6056d93,,"More play time with us and cooking together, more relaxed",More family tine,More time together which was great
b612316e,,,,
b61685eb,,,,
b64f8e34,Spending more time with family,More family time,She has learned that it's all a hoax,Opened my eyes to the bs that's really going on
b6789669,,,,
b68a3753,getting more schoolwork done,,,more structure at home
b698b712,He gets my undivided atrention.,Spending more time with family,I moved to be closer to him and he now lives with me more often.,"spending more time with family and outdoors, excelling academically"
b72bab67,,,"He has started helping out with chores a bit more at home, and has a greater appreciation of being outdoor.",His relationship with the entire family has improved
b807ae30,,,,
b82c3d0a,,,,
b878f49c,,She is appreciating the simple things in life.,My child and I are home all day and we spend time with each other much more now.,"We are spending more time together as a family, exercising more, and eating a better diet."
b89ced04,,Working harder on her school work,,
b8f6a693,"More family time, calmer/quieter life, more time for play, no school stress.","More time at home, togetherness, less worldly stress",We are homeschooling now which has been wonderful.,We spend more time together now and it is wonderful.
b948eb7e,,,,
b9a8fc0d,Time together,,,More time with me
b9ff07d3,,More family time,,More time together as a family
ba1fcb11,"More time with myself as I am not in work, as a result she is much happier and more settled","She's been able to spend more time with me, as I've been off work, and she seems much happier as a result",I'm now a stay at home parent due to redundancy and seeing my child more has improved her wellbeing,
babc8caa,,,,
bb1b4eeb,hes adjusted really well to seeing family via video chat,Quality time at home,He learnt how much he appreciates school and his friends,I think hes realised how much he enjoys going too school and seeing his friend's and the value of face to face education
bbce3ea4,,,Increased exercise,No longer has contact with his abusive mother
bc372a14,,,,More time together
bceb049f,Home school has actually been good for us,Being pulled out of public school has been awesome for her. Shes happy and playful all the time now. she was angry before.,Homeschool has been great for us. Her emotional and physical health has improved,"A lot! She's a lot closer with family now, easier to communicate with, academically developed, physically advanced. She's started exercising more, eating better, spending more time with parents. A lot of good things."
bcf52581,,,,
bd17fde0,,,,
bda2c3d0,"Increased time with family, ability to focus on school subjects that we didn't know were needing assistance.","More time with family, creative parent/child date nights","Purchase of a new (first) home, increased family time, more meals at home","New home, new ways to spend family time"
bdcee747,She is happy not to complete her SATS tests,Dedicated family time,More family time and time to catch up on school work,More time spent as a family
bdd6cbe2,,,,
bde4afb8,,,,More time spent with family
be79f2f3,,,,
be86f3dd,Calmer behaviour,,,Benefitted from the homeschooling
bec630b3,More family time ,Spending more time with her family ,more family time ,Spending more time with the family
bef37417,,,,
bf3be739,,"More time to spend as a family, bike rides",,
bfa32583,,,,
bfd9d3e3,"Spending more time outside, better relationship with her sister.",More time being active outside,"More family time, less social stress","More family time, better finance controll"
bfdd6a45,,Less anxiety of being outside amongst strangers,,closer relationships within family
c01b3944,Enjoying spending time with family at home,,Extra time with family,Quality time with parents and freedom to explore more of nature.
c07f2770,,,More bonding time as a family,More family time
c081f607,,Being at home more,More time with family,More time at homeschool
c1386a36,,,,Spending more time with family. I was able to help her with schoolwork. She has slept better .
c14a5de7,"spending time with family, less school stress","More free time, quality family time",Doing better in school,"More family time, school less stressful"
c1bbc406,,,,Spending more time together as a family
c1f2aa9c,,,,We spend more time together as a family and I think she has learnt the importance of family and life in genereal throughout lockdown. Not to take things for granted.
c21109e8,,He loves being at home.,more family time,more time spent at home with family.
c27f9879,More time with mother,More time with family at home,more time with family,More family time.
c32fdee6,playing with his sister more,,,
c33e22fc,He has been more compasionate and helping out in the home,He has been exercising and trying to adopt a more healthy lifesstyle,My child learned to become more emphatectic towards others,More quality time spent with family
c34385e3,,More home study and time with parents,,
c432df50,,,,
c46fa1ee,,,more family time,Children home learning
c4b7a2f0,More time with family,Closer to family,more home time with family,
c52f791e,,Doing more house work,had more time to relax and spend time at home. Eating more health,able to spend more time at home with family
c57f0dc7,"social distancing, closed school","sitting indoor, no school",,
c59b9a3c,Family time,Family time and cooking,More family time,Family time
c683bd3c,,,,
c6a3f8db,more exercise,appreciation for family time,,
c6a720d1,,,,More outside playing
c719116e,,,,
c84a0712,,"He has included himself more in household activities, such as housework and helping in the garden.",Has taken on responsibilities and independence,I took on a different job role due to covid so was at home less and him and his older brother had to become more independent.
c8667d97,,,,
c8a01b0c,, Ore time to exercise ,,
c8c72442,,,,
c8cdd6f8,,,,she can't meet with her friends after school
c99e8e56,,,,
ca39439b,more time spent with family,Not going to school has meant he is much more relaxed and calm. He is enjoying spending alot of time as a family,,
ca8be6c6,,We spend a lot more quality time together.  We know each other more intimately and have more fun together.  We now take daily walks and share a lot of things.,more time together as a family,"more time with family, I recognized I needed to reevaluate my priorities"
caade62f,,"increased family time, closer relationship",,"working from home, being safer, more hygenic, no common colds"
cb35f7cc,More time at home spent with family members,Getting out on a daily walk which we rarely did before,More time to spend with parents and explore the local area,
cb51624c,,1,social distant,hand wash
cc7076e1,,,,
cc73c2dc,"more time with family, healthier eating",more time spent with parents,,Opportunities for independent learning.
cca2319b,Mum spending more time at home with her,More time with mum because I'm not working away,I'm not working away from home,I've changed my work so am home more
cd1fc262,,,,
cd6d7c07,,,More family time together,More time with family
cd8052bb,we are going for more walks as a family,"we are doing things as a family more like cooking, watching movies and also exploring the local riverside during our walks",he has become more resilient and adaptable to change,more time to be physically active
cdd3aded,Home with her parents all the time,She is home with both parents. Lots of walks and bike rides. Time with her newborn baby sister.,More time at home getting to know her baby sister,Spending more time at home and bonding with her sister
cdf000d2,,,,
ce87c8bb,more quality time spent with his dad and with myself,"More time spent with parents, reduced stress surrounding school, eliminated stressful mornings preparing for both school and work, valuable discussions and memories made in the extra time at home together -lack of ability to go elsewhere made us focus more on each other","His father taking time off of work caused his father to be a lot more attentive to him, to get involved in his school work and to generally spend more time with him. He has much less anxiety about being able to fall asleep and being late or too tired in the morning. ","There were some pros in the beginning such as spending more quality time with his father/with us as a family due to all of us being at home and his father being on unemployment, but as things have mostly shifted and much of that quality time is no longer as available, the positive effects have mostly 'run out'."
cf8a5129,,More time together with family,More time together,More time together
cfa4cd1b,not worried about attendance,,,
cfd00b1d,,Building better relationships,My child had time to think and made a major announcement over lockdown,They aren't as anxious
cfd9ec9f,No school,,,
d010bb30,,,,
d0208cb7,,,,
d0787508,,,,Shes found herseld a new hobby
d0b7ac20,,,,
d117e23b,,not eating fast food,Time to do different things,
d1b5014b,school closed,,homeschool,homeschool
d1c0dce4,More family time,More quality time with myself and other household family,,
d2465366,My child is being able to engage in more life skills while at home. Building independence.,,,
d2a5945d,,,,
d2b1080c,More quality time with me and siblings,More time spent with me and siblings,We are spending more time as a family. She is homeschooled so is able to learn more about subjects she likes. She's gotten closer to some of her friends due to them being able to use things like Facetime now.,
d2e34a58,,,More time to draw and read,
d2ebbe36,Spending more time together as a family has been mostly positive,He is practicing the piano more!,,
d2faf395,Spend more time together,Spending more time with his siblings,,
d34be643,,"more time to do things she likes - baking, online time with friends",new job,"she has become more resourceful, resiliant"
d355f95d,,,More family time,Appreciation for family
d3ebdf47,,,,
d404a7b0,,Washing hands more,,More time with family
d41b721f,Spending quality time with his mum and dad.  Doing much more together including the home schooling.  Talking more,More time with his mum and dad and dog.  More time in the garden and has started running.,,Having to learn on his own.  Gaining an interest in new subjects such as physics.  Spending more time with the family.  Spending time being bored.
d46cb66b,Spending more time with parents,spending more time with us,I am now working from home so am there more.,
d4a874f2,,,,
d4fcc811,More tine with dad,More time with his dad,More family time,More fanily time
d5349aad,He's very happy to be home with his family instead of school,"He enjoys being home, more family time ",Building relationship with sibling,Strengthening sibling relationship
d5da5870,,,,
d62ed989,,,closer to family and more communication,
d64dac0e,More Hygenic ie washing hands,,,
d659f01b,,,,
d6751665,"My husband is laid off of work, so my son is very happy to be spending time with him every day.","My husband is laid off of work, so our son has been thrilled to have Daddy at home all day to play with.","It made my son and my husband's relationship grow closer when we were on lockdown for nine weeks. My husband has worked since our son was born, so it was the most time he ever got to spend with our son.",
d6d91f20,,,Getting to do school work home and working at her own pace. Plus no school shootings.,
d7222c42,,More time with family and less school work,More time with us,Spending more time with family at home 
d73907e9,,Allowed to attend school as I am a key worker and he sees his father more as he isn't working at the moment,,
d7aff13e,,,,We could spend more time together
d80ca251,,,,Being forced to stay home allowed her get away from the kids she was hanging around which  were terrible influences on her.
d825612a,More family time,More relaxed away from the social pressures of school.,,
d860d839,,More time with family,"Both parents working from home, more time together",Since both me and my wife are working from home we can pick him up from school instead of he spending time in after school care.
d8721135,,,,
d8892cc8,,,"spending more time with me and her sister, much more time outdoors",
d90bbaa0,,,,More focus on homework.
d91e97fa,,,,
d9453d91,claps for NHS; rainbow drawing,she developed a sense of gratitude towards the key workers.,she feels that she had more time to be with the family due to pandemic,
d986f537,Washing hands more,Washing hands regularly ,,learnt more about the environment
d9b7307c,,,,
d9c5480f,,The skill of discipline and self-regulation with online learning.,More time to bond as a family,"More time together as a family, learning to persevere under difficult circumstances"
d9dc2a8a,,,,
d9f91e90,He talks to us now,"Community get together to clap, some people i have never seen before, spending time at home by working from home is excellent",Spending time with family more than the usual.,More family oriented now than before COVID.
da7e5e4d,,Improved neighbour relationships ,Working at home and home school helped us to learn to work together more closely,
daae47db,,,,
dac72d5b,,,,
dbc229bb,"Closer relationships with siblings, more time spent with family","Greatee bonds with family members, more life skills, taking an interest in new things",Better connection with family members,Better connections with family members and took up a new hobby.
dbc8141b,More family time,More time with mum,,More self reliant
dbef5037,,,,Learnt more around the house
dc2bf4e8,,,,
dc54adcf,,,,
dc5c6e44,,,,
dc64eacc,,Closer as a family,More time with her parents,"More time with family, learnt new skills"
dce17888,,,,
dcfa6e80,,More time with parents,,
dd07bdc3,more family time,More family time. She said she loves me being home.,Wonderful relationship with family,Bond with sibling and parents
dd21edee,,More time with family.,More time at home with parents,More time at home and with family.
ddffdca5,,,,
dea853a5,,,More time with family,
df2c8c8d,,,spending more time as a family,family time
df5b3db6,,,,my child is more closer to me and his mother
df69f893,,,,
df8cb25b,,,,
e0b5edd2,Spending more time with us and being outdoors in the garden more,"Spending more time with us, being outside more",Spending more time as a family,Spending more family time
e0c3376b,,Spending more time with family,,More time with family
e1504783,Time at home,Relationships with siblings,Time with family,Family time
e18d40cf,"more time together as a family, less rushing around. he would probably argue that he's happier because he doesn't have to go to school!",more family time. feel like we've had chance to reconnect as a family,,All my children enjoyed spending more time at home together
e2db916d,,,being able to spend time together,
e2f2fb13,,,,
e333ab78,,,,
e3389222,We are working much more time together as a family,More time with parents,Got to spend more time with them,Spending more time with family
e38567a0,,,,More family time
e3a26552,"More family time with all of us together, since working from home",,,Being able to adjust and being flexible
e4181010,,"spending more time with family, more personal leisure time",,
e4e1cc53,Increased time with family,Increased time with parents and siblings,Increased family time,
