ID,specifypositive_April2020,specifypositive_May2020,specifypositive_Nov2020,specifypositive_April2021
4f55295f,"2hrs extra a day as no commute so have more time to exercise and relax, don't feel under pressure to be doing things outside home, can do hobbies I don't usually have time for, have made contact with neighbours previously unknown","Made contact with neighbours in my road, not having to commute, quieter roads, more wildlife, more time for exercise and hobbies","More exercise, better management of chronic illness, less stress and fatigue",Better management of chronic health condition
4fa5931b,university closed and exams were cancelled,,Don't have to go outside,more sleep
4fc867b0,,,,
4fef780f,,,Working from home,"Working from home, more time for exercise"
4ff76558,,,saving money,Being help to focus more on myself and have more appreciation for family
5088c6b9,,"Observing nature, slowing down",Eating better,More money as working from home
50993419,"Spending more time with family, more concious of food waste, spending less money","Spending more time with my son, saving money, being able to work from home",Spend more time with family; able to work from home,"Spend more time with family, able to work from home, do not have to commute, able to save more money."
509fcedd,,,,
50a80ed7,Demonstrated the feasibility of working remotely,Ability to work remotely,Working from home has been a very good experience for me.,Working remotely full time
50bee78a,Staying home,Sewing,Spending time with family,Crafts
50f253ba,,,,
50fd85f5,,,,
51161de2,More hand washing more eating at home,Talking with family more,,I've found useful alternatives to going inside to shop.
51c525c8,,,,
520f6c01,,,,
5232854f,,it takes less time to commute,Redefined some close emotional relationships - Less traffic on the road (and air) - I imagine it is easy to underestimate the effect this has had on one's enjoyment of life.,Less traffic on the roads
52905e06,spending more time with my kids,spending more time with family,my children are doing school virtually,More quality time with family and I am working out more.
53db5f2d,Spending more time with my family,"Spent more time with my family, especially my two children",I spent a lot of time with my 2 children before they went to university in September,"I was lucky that it meant I spent a lot of time with my children. We get along very well and it was good to have that time with them. Now they have both gone off to university and we miss them, but they will be back again soon for the summer"
54213ae7,,"lack of pollution, no planes, less traffic, have to get on with tasks which have put off for years",see more of immediate family,See more of children
5470380b,Going back to school for a degree,Making healthier options,,"new lifestyle,weighloss and better self care"
54944c4a,,Shopping only once a week (click and collect at supermarket) rather than calling into the local shops most days. ,Better meal planning and less time commuting on the motorway,Eating better. Planned meals.
54b324e6,,Exercise & diet during lockdown,,MOre time with husband e.g. to running together
556ee067,Not buying so much,,,
55bd6c99,Offers of help ,More neighbourly,,Appreciate family and friends
55c9e1d9,,,,
55deef6c,"Quieter roads, wlaking more, less shopping, more (short and safe) interactions with neighbours",Quieter roads mean I can hear more birdsong,Quieter environment,More academic engagement via Zoom meetings/conferences/lectures: quieter environment - can enjoy walking and seeing wildlife more
55eaf920,Cleaner house,Lost weight,"More time, less commuting","less use of car, more interest in cooking, less shopping"
55ee638a,more active,Gardening,,
5613ea66,,,,
56169437,,,,
5678611d,,My skin has cleared significantly.,,
5688da33,Easier to stay home and do online school.,,,
568d8541,,,,
56abda92,,,,
56c0a3c1,"cooking more, focusing on work and wellbeing","Less wasteful, productive and save money","Less commute, save money",Healthier lifestyle
56cbd38a,,"better eating, more cooking",,road trips and significant other moving in
56def411,,,,
570d8d90,Being together with family and playing games in the garden and having meals together is great.,Closer bond with family and more time with kids and husband.,More family time,More family time and bonding
5724fc20,Daily walk,daily walks,use of local traders,"holidays , travel, online shopping"
572d823d,,,Promoted and made permanent at work,
574a790d,,,,
574db557,,,,
57617e9d,,,,
577cd09a,,,not able to visit family abroad,
57d2c23b,,Learning new technology,,
5802d6c7,,,,
5872cca9,i have more time now that i'm not working,I have a lot more time for making art,I'm learning how to let time be more fluid,We moved to a bigger home
58783e47,,,,I got in touch with some people I hadn't been in touch with for years.
58973b11,,Exercising more,More time to take up hobbies,more time to exercise and catch up with friends on the phone
590a8cde,More time with my daughter. Saving more money.,More time with my daughter,"More time with immediate family, no commute","More family time, less time spent commuting."
59510c28,,,,
5965630a,exercise,more walking,healthier eating,working out
5b17a3e4,"slowing down, spending more time with children","reading more, getting to know neighbours, speaking to relatives, more time spent with children","started a business, more time with family",new job
5b7091a4,,,,
5b9187ac,,,Working from home,Solitary
5bdddad3,,More time to myself,appreciate things more like family,I appreciate much more
5c00ba00,,I'm relaxing more,,
5c096337,,,Spent more time with family members. Better hygiene habits such as washing hands more often.,
5c7d933f,,,,
5caa6e38,ability to be home with family,family members connect more,monthly Zoom with my extended family,electronic contact with family and friends
5ced5cf3,,I've been being more logical when it comes to spending money so I'm saving a lot now,,Started exercising more and taking care of my physical and mental health
5d43db43,,,Pilates,I started working out.
5d5378c2,"less pollution, less noise, people are more respectful of one another",Less pollution and much quieter,City was quiet for a time,Greater appreciation of exercise
5d7ef4a6,,,,
5da3b8a9,Valuing nature more and spending money needlessly less,Walking and exploring new places where I live when I do my daily exercise,Enjoying nature more and exploring places in my local area. ,Appreciation of simple things and exploring my local area
5df80d2a,,,,
5e3ad4c6,I am watching what I eat,,,
5ea97a52,,,,
5ee59740,,My family calls me more,Pay raise,
5f0dc810,more exercise,,,
5fc1ed65,,,,
5fccf8fb,,,,
604095e2,,,Finishing work early due to being pregnant,
6089cf25,,,,More time together with my partner
61011b9a,spending time with family,,more family time,
6134e375,,"More time for bike rides with my son, working from home",,"Skype calls with my grandmother in a care home, able to work from home"
61667a56,,,,Money
61e9823c,Have more money as I'm not out spending it all the time,More money,Spending more time with my children,
621ed6fa,God is blessing me with each day.,People caring for others,,
6244b533,"Spending more time with family,bounding",More time with family,Spending more time with my family,More time with my family
629b2294,,Weight loss,Parents gave me a bit of money,
62eafe71,I'm exercising more,I am able to spend more time with family,I was able to save up money not paying rent and living with parents,I was able to focus on my mental health more and building up a savings account
62f6c10e,More time to get things done I didn't have time to do before + can work more on my posture when working from home,,being able to save more money and can live at home,saving more money by not having to pay rent as I moved away from my rental place. I also got to spend many months in my home country as I can work remotely
6307dca9,,,,in touch with old friends on Zoom
632c4073,"more time with family, more walks in nice weather.",More family time,More time at home with family,"More time with family, outside time"
6333364f,,,,
6398a171,Activities outside the household,,Physical fitness,Graduation 
639bd76e,"Lockdown, shopping rarely, only goin out once a day",Doing more baking,"I've retired from my main job, I do more cooking, I take part in lots of online activites.","I decided to retire, I attended a lot of events virtually, that I wouldn't have done otherwise."
63e392e7,,,,
63e892f2,We are more adamant about sanitation,,More flexibility time-wise,I got more time for self-reflection
63f030c8,time to relax and finish some work I hadn't had time to do before. More exercise,,,"running, lost weight "
64005804,,,,
6404c41d,"Air quality is far better, the wildlife is returning",Forced me to slow down and to also explore new IT skills,,
641faf53,,,,Priorities?
64786cbd,Frequancy of washing hands,,,
647f33c1,"Being more careful, keeping away from others, more hand washing","Social distancing, hand washing increased, working from home, lockdown","Worked from home some of the time, more relaxing","Less commuting, more relaxed atmosphere"
648f3b96,disinfecting more often, Better hygiene (handwashing),,I am washing my hands more often and sanitizing surfaces more often.
64bb47b7,,,,learn to enjoy my home more
64eb7ad2,,,,
65424974,,,More time with family,Spending more time with family.
654f2487,,,not able to see my family as often,
6555ddee,Spending more time with my son,More time with my kid,Learned how to do gardening ,
65b49e68,More time with my family,More time to spend time with my family,,More time with family
66594241,,I cook more rather than eating out. ,I've had more time to read many books,I've read a lot of books
666251d4,,I talk to my friends more (via video chat),more money (extra pay and CARES act),"talk to friends outside the country more, make more money than we did before"
667aff50,more exercises,a lot of distance,I have more time for myself and watching more documentary movies,
66ae827a,,,,i have spent less money on socialising
670a41e2,,,taking more excercise,i am eating more healthily
67af7d0a,I spend a little more time with my kida due to shift changes.,Shift changes so I am home with them more hours when their awake.,I was able to spend more time with my kids.,I was able to spend more time with my children for a short time
67f60bb1,,Washing hands,,
6811eb21,,,,
68553d69,,,I restarted a daily walking program,I got more serious about exercising and walk most days with good weather now
68581829,,,"adopted a dog, bonded with daughter",We adopted a dog.  I got to spend a lot more time with my daughter.
6863f531,"didn't have to attend a few events I wasn't looking forward to (baby showers, etc.)",I got out of some commitments I wasn't looking forward to,didn't have to go to certain events that I was dreading,"spent a lot of quality time with partner, partner got a new job, became appreciative of what I have"
686ca0fe,Less contact with family,,,
687d5890,I've got to spend more time with my children,,I've got to spend alot more time with my children,
6887f495,Exercising more,"Cooking at home, keeping house cleaner.",More family time,"More family time, home improvement, better eating"
68c1783d,I am eating more healthy and losing weight.,Eating healthier,,I have been eating healthier and have lost 30 pounds.
69266435,,,,working from home
69519e9a,I am making much effort to stay in contact with family members by phone. I am able to spend much more time at hom with my husband and daughter. I have commited to daily walks/excercise.,,,
6960cf9b,,,,
6992d2bb,More time for self reflection and an increased community connection,More time to focus on meditation and self reflection,More time to focus on hobbies,More time for self care and relaxation during quarantine
6a0d023f,,"Given me time to relax, slow down my pace of life and engage in hobbies",,
6a32b803,,,able to concentrate on my job more,
6a601f7d,More time with family and communication with friends.,More time with family and to pursue hobbies.,Able to change perspective on life by appreciating time with family at home,"It allowed me to reflect on certain aspects of my life while being quarantined, and so that made me make different choices now."
6abf227f,,,,
6ad0d637,"More time with family, slower pace life","More time, flexible schedule",More time with kids,More time with immediate family
6af86409,,,,
6b461e36,Share more activities with my wife.,More time with partner,More time to spend with my partner,More money due to stimulus checks and PUA 
6b93e5cd,"Quieter life, more simple","More exercise, time to socialise via social media, slower pace of life",New relationship and better mental health,I worked in a care home which I really enjoyed. I've spent more time outside and with family. I also met my partner.
6b996521,More time with family.,More time to spend with family.,"I have had the opportunity to spend more time with family, and I have capitalized on the stock market volatility.",I've had more time to spend with family. The stimulus checks have provided my family with extra cash.
6cc2a70f,,,,
6ce5d6f6,,My class had to cancel a group final project that I dreaded. Online meetings have made it so I didn't have to drive to them.,I don't have to drive all over to go to my volunteer position meetings.,"I no longer have to drive to meetings for my volunteer positions. Traffic is significantly reduced, or at least it was. The air quality is better."
6d319800,,,I'm learning to draw,"I took up drawing -- learned to draw.  I like that very much.  But that's it.  Otherwise, no, nothing."
6dabbe40,"Able to do more house cleaning.  Spending less money, which enables me to put more money into savings.",Driving less.  Saving more money.,Able to put more money into savings,"Putting more money into band savings account; reduced travel, thereby saving on wear and tear of car."
6dc26d9b,,,,
6e3e657e,,,My anxiety went way down since being under stay at home orders,My anxiety has completely disappeared and I moved to a larger apartment
6ef6a49c,,,,
6f618d37,Seeing more of my husband and children. Slowing down our pace of life and cooking g from scratch,"I'm working from home, so spending more time with my daughters and my husband. we're cooking from scratch more and wasting less money.","More time with my husband and children, less time spent commuting",Extra time with my family
6f64bafb,,,,More family time
6f7043bd,,,,
6ff99d80,,,,A lot of alone time
7043f8f4,I've done some work I'd been putting off for ages.,"I'm eating less, which I hope means there will be less of me when this is all over.",I've started exercising and losing weight.,"I'm exercising more, I've gotten to spend more time with my dad, and I finally finished my degree last summer."
7064ac8e,,,,
7094ac46,Working from home means I no longer have a frustrating commute to work; I am sleeping longer because I don't have to get up as early; I get to eat my lunch outside in the fresh air every day; I have been doing a little more exercise than usual,"No commute to work, doing a bit more exercise",I am currently allowed to park at work so I can drive in and my commute is now 15 minutes compared to 60 on the bus; I was pretty frugal anyway but I have saved a bit of money from not paying for park and ride parking and bus permit;,"I don't have a daily commute so I have saved time and money and boredom not having to do that every day. My husband and I have spent very little over the last year and we have saved quite a lot more money that we had planned to, as we're saving up to buy our first home."
70dd2716,Spending more time at home with partner. Spending more time gardening,,"I and my partner cut down on alcohol. We have spent more time together, e.g. going for walks.","It's made me focus on my home life more, and spend more time with my partner"
716636c0,Have been able to catch up on my backlog of netflix shows,I am budgeting money better,,Have learnt new programming skills for work whilst working remotely.
71b698b5,,Contactless delivery,,
71e74601,,,,
71fb15fd,,,,
721fcfa3,,,,
72231de9,,,,
72443c8e,,,"Thought about what's important, less FOMO",Working from home culture
7287ada0,,,Due to my anxiety I'd rather stay at home and COVID-19 has provided a good excuse to do so,I haven't felt under pressure to leave the house to do things such as training courses or volunteering
72bc0590,,,got to spend more time with family,
732847ca,"Greater sense of purpose, general contentment due to offering my services for free and spending more time with my children",,Greater sense of wellbeing and gratitude. Brief increase in income.,Closeness with family.
739db12b,Contacting family and friends more by phone or internet.,Talk to friends more. Cook more meals from scratch.Realise what is important In life.  ,Exercise more.much stricter about washing hands,"More focus on what is important in life,and how to avoid illness by looking after yourself better"
73e01b6f,Increased time with my children and spouse,,More time with my closest family,More outdoor time with my family
741e9a9f,,,,
742ca5c9,Listening to podcasts and spending more time with family,,,i do more volunteering
752ef7a9,More focused on religion,Spent more time working on my own business,"More in touch with spiritual self, stronger connection to spouse and family. More time to work on my hobbies and business idea.",I was awarded a grant & I started a business
756e8ec4,"More time to cook, exercising more","Less traffic noise, walking around local area more often, reduced emissions","Easier to attend appointments etc in work day, less time spent commuting","No commute, increased time to do things at home"
75ab7d97,,Hazard pay,,Spent a lot of time with the same few friends and became much closer friends.
75e9c9a2,appreciate simple things more,,,
76a45229,Trying to appreciate my friends and family more. Enjoy nature around me. Spend less time with electronics and technology.,Spending more time with my family and having time to reflect on changes I need to make in my life.,,I have spent more time with my family and been able to enjoy the outdoors more then I have in recent years.
76b66b6f,,,,
76e9e333,,It's decreased my spending because I don't go out anymore,not spending as much money on things meant to improve appearance,We don't go out to eat or spend money shopping around anymore
76efb5ec,slowed down,spend more time with partner,"got outside in nature more, slowed down","I started running, saved money"
7787def8,,Finding new ways to exercise,,"actively trying t loose more weight, spent more time with my kids, got a job"
77b71258,,,Found creative ways of staying fit and it inspired me to cook and bake more. Spent more time with friends and family.,"It allowed me to focus more on my studies and appreciate smaller things, such as going for walks and exercising when possible. Furthermore, while I only meet up with people fewer times, I appreciate that time more too."
77d0bf5f,"Connections with family and friends, In rushed time, Enough sleep, a chance to reset priorities, catch up on projects","More time for connecting with family and friends, processing feelings about other issues this cris triggers, a chance to reevaluate my choices, much needed rest as I am self quarantined due to age and Healrh concerns though unpaid from my full time job, time to catch up on unfinished projects, creative time, quiet,","time to reflect, time to care for my family, self, home and garden, likely early retirement,","More time with family, time to catch up with myself and reorder priorities"
77d7738e,Work from home,,,
77f729db,shopping habits - dietary change,Weekly shopping habit,Increase in hobby time,Purchasing food and goods online
7801d619,,,,
78475ea0,,,,
78488733,Washing hands more,,,
78776f13,,,,
78c84d16,,Shop on line and delivered to door,Appreciate family/on line shopping,Appreciation of family/support of neighbours
78d361a8,I am keeping the house more tidy.,I'm exercising more,I learned a new recipe or two,
78d8a910,,,,
793f1136,Food parcels and increased communication albeit online,Being forced to slow down and appreciate life,,it was nice spending more time at home
795e78d5,,,,
7974c0e8,,,Had more time to devote to completing home improvements.,
79929a14,"Cleaned house thoroughly, eating healthier, losing weight","Eating healthier and losing weight, being able to help elderly neighbors with some of their needs",lost weight and eating healthier,"Lost weight, eating healthier/cooking at home more, learned how to let go of small things that trigger arguments because you never know if or when you're going to get to spend time with those you care about."
79c20023,,I am concerned more now than ever of where my daughter goes.,When my daughter came home from college,
79ca805d,"More neighbourhood unity, quieter",,,
79d3fffa,4 time spent at home with family and doing some new exercises at home,At first being home more with my family,In the beginning it was nice being home a lot more with my family husband and daughter that was a positive thing,"I would think being home getting to spend more time with my family, has been kind of a positive thing and also going out for many more walks outside"
7a3a4ddb,"Closer with family, more time, less busyness","more time with family, getting more time to do hobbies, spending less on gas","Our family is closer, less stress about doing things","We've had easier access for time to earn extra money, more time with family and exploring interests, less driving, appointments available through telehealth"
7a5b6287,,,,"I was able to move to a closer work location where I can now walk and there is less corporate pressure and also it is a smaller team and I no longer have a 2 hour commute in the car each day,"
7a6b069a,"Exercise, went from doing 0 hours to 6 a week",Going from no exercise to 6 hours a week,Exercise more regularly,
7a7f7dac,,Chatted to neighbours more often,,Financially better off and more time to relax
7a843d68,,,,My work which was already from home has expanded somewhat
7a8c21cf,"More family time, do things you always put away, save money",new friends,Less spending on eating out,Saved money
7a90550a,,,,
7b103f9a,,,,
7b175411,"Regular home cooked meal from scratch ,rather than eating out","less air pollution, more birds in garden. Walking more regularly , cooking more meals from scratch",,
7b787546,Family time,Spend more time with my children,Spent more quality time with my children,more time with my children and time to learn
7b7ef46b,,,,
7b96dd85,More birds and cats in the garden,,I'm making a better effort to get physically fit,"I've excercised mor, concentrating on aerobic fitness and done more physical shopping. I've started to use Spotify Free which I hadn't been able to get along with before!"
7ba97a88,More talking to friends,TAlking to more people on the phone,,
7bcab22c,Lifestyle change,,,
7c180b5a,,Husband and I are closer than ever and staying positive together.,Appreciating the little things,More appreciative of the little things.
7c182d93,more time with my children,more time with my teenager,,
7c443e77,"Exercising often, spending more quality time with partner",More time spend with my fiancé,,"New job, marriage, bought a car"
7c62f3cc,Given me time for more hobbies,The time in quarantine was actually very needed and restful and healing for me.,,
7ca352c3,,Taking more care,The way I live,
7ca77633,Been even more physically active. ,,I have been taking care of mental health more.,I got to work on myself because of social isolation
7cb75c32,,,,
7d47ff19,,Honing skills,music,work related
7decdf2c,"Community spirit, neighbours coming together to help each other. More time as a family.",Family time,"Family time, reduced travel",More family time
7df82da0,More exercise,Exercising more and eating more healthily,Healthier eating and exercising more,"Exercising more, eating healthier"
7e79a845,,,,using video-conferencing
7e7c21c4,Better hygiene procedures,,,
7e9a5679,It's more common practice to be wearing masks in public and not be called a terrorist.,I can wear face masks in public now without feeling like a criminal,Mask wearing has become normal,Wearing masks is not considered weird in America anymore.
7fa4a001,,LOCKED IN HOME,,MORE FREE TIME
803e50e8,,,travel,
80a1dff6,"more outdoor exercise, more time for hobbies, cooking fresh meals at home, increased interaction (virtually/phone) with family and friends","I am cooking fresh meals from scratch instead of eating unhealthy food out, have time to read and pursue hobbies, am exercising more outdoors, and am in closer touch with my adult children (not in person).",,"I have spent more time outdoors enjoying nature, now cook and bake at home all the time, and have developed new hobbies"
80af0b05,,,Weight loss through exercise,More walking so lost weight
80c7e2b4,,,,
811a2015,"much quieter, less traffic","time to do more gardening, baking jobs around house,spend time with family in home and online. ",,
814f7512,More exercise and more time with family,Shortened working hours so more free time for family,More time with family as shorter ours at work,"More time with family, shorter working day"
817f9864,"My husband got his $1200 payment, although he hasn't had any work; It's nice having our daughter home, she's usually at college; there have been fun little things, like free lessons online; It's hard to explain this, but I've been in a situation for years where I've felt frustrated and kind of deprived, and now suddenly everyone feels that way, so now I feel normal; but I still wish people weren't dying and wish this would stop.","There is a weirdly greater sense of clarity and perspective about everything, and I'm spending more time with my husband than I used to.","Daughter home from college more; spending more time with my unemployed husband and walking for exercise, although this can't keep going on forever...financially","My husband's unemployement pays more than his job in catering did. We've been walking outside every day for exercise, which we did before, but not as regularly. I feel less, well, weird than I did before, because I felt like my life was overly stressful in some ways, but now stress is normal for everybody, so I'm blaming myself less, if that makes sense. I might be able to start a tiny online business, or at least try to, because of my stimulus money. On the other hand, there is still so much uncertainty about what's going to eventually happen, and people are still dying, and I wish this would be over."
8191a048,"Spend more time with my The Wifey, I have more time to do housework which brings us closer together.",,,I get to spend more time with my The Wifey as she is now working from home. I also have an excuse not to see my mother when she is really annoying me.
81ed0607,,Taking more exercise,I have been exercising more,
81f898c6,,,,
822b6720,,,,
82423354,,,,
82f96a50,,,,
8319d515,"not going to pub, spending less time in hotels",less beer and eating better,lost wieght,working from home a bit and saved money by not going to the pub and eating out
832c3594,"Online school, shelter in place, social distancing",,,
8347699e,,,,
83911e11,,,"more time for hobbies, exercise",more time to figure out what I truly Value in life.
8392567c,,,More time with my children,
84027b54,More time spent with children,Spending more quality time with my sons,More time spent with my sons,More face-to-face time spent with children
8478ff1f,,Not being so sleep deprived (despite bizarre dreams),More time spent with family,"More remote working, I feel less rushed because of this"
850e272b,,,,
8590eeb9,,,,
859a2d96,Disinfecting and cleaning more,More time with family members ,More time with family,More time with family
85d8623b,Our son has returned home to live with us during the lockdown,Our son is spending the current lockdown living with us rather than staying in London,Our son moved back home for the duration of this and the previous lockdown.,My son came to live with us during 2020 as he didn't want to stay in locked down London.
85faef55,Spending more time at home,More exercise,More balance between work and home,Better work life balance.
86182731,,,,
8627654d,,,,
86616353,More awareness,,,
8661b9cd,Volunteers helping the community,Slowing down and staying home ,,
86a42e30,,,,
86e37ac5,Less pollution,Less work related stress,Save money,More free time
87760496,being able to do jobs in house,keeping fit and active,more time with partner,which friends matter
87b0438a,using a mask and santizer when i go out or come in,,,
87e5461f,"Using phone to connect with more people. Also, it has made me really glad that I was already an introvert. I'm already used to being a homebody!",More frequent connecting over telephone. Has also been uplifting to see the community trying so hard to help people.,More time to work on myself/personal growth. Seeing so many people trying to do what they can to help others has been uplifting. There's still a lot of good out there :-),stimulus payments improved my financial situation.
887bf2a4,,,,
890a2b84,,,,more time with family
892c58bf,Daily online yoga classes,Daily online yoga classes with an inspiring group of people,Different perspective on life,Closer to my partner and my family. Had the tiny wedding I always wanted.
8932958d,much more selective about budgeting,realizing how fortunate I am compared to some others and not taking conveniences so much for granted,,"time to myself to work on projects, read, spend time with pets, reflect on the good things in my life that I have taken for granted."
896a1fe9,More time with family,More time at home with family,more time with family,More family time
89930cb8,,,,
89a13fb7,"able to listen to podcasts and gain some knowledge whereas I would be busy with school but with an extended spring break and virtual classes, I have more time","self-improvement, listening to podcasts, getting caught up on studying",personal development,more time to do things I enjoy
8a1e5483,,,,More time with family
8ae5e648,,,,
8b32e50d,,,,
8babae56,,,,
8bcffd26,,,,more free and leisure time
8be5f178,,,,
8bf72916,,,,
8c5a3e7c,,,,
8cc5a0ee,,Git to know neighbours and local area better,More confident in my ability to map read. Spoken more with neighbours,Got to know the local area better
8ce3231e,,,,I work out more often
8d01b1e5,Working remotely,Working from home,working from home,working remotely
8d1b6957,Increased contact with friends and family otuside my usual core group,Using the extra time to restart relationships with certain friends and family over phone and video calls,More free time to study new skills for my career,Led me to go back to therapy and seek medication for treatment for the first time in 10 years
8d2574ff,,,,
8d540112,,Free travel on buses and as a healthcare worker i am receiving discounts and freebies,,more family time and i started cooking more
8dd886af,I really like working from home and spending time with my husband,Much less stress at work,,I love working from home and spending more time with my husband and we are saving money by not commuting
8e36215a,,,,
8e497f8a,I've become more reflective and caring,,,Cleaner air: quieter environment
8e697aac,,,working from home and working flexible hours,"Spending mlre quality time with my children, working from home,getting outside more"
8e7e8fe9,I am getting more time to complete activities I normally have no or little time for.,"Increased time for exercise, less work-related stress due to working at home.",Less workplace commuting time required per week; Increased time available to exercise outdoors.,"More remote work, more outdoor activity and exercise, some economic benefits (gov. stimulus payment(s))."
8e8c73c7,More birds singing. Coming off social media platforms,Feeling more resourceful. Increased gratitude for the security of my housing and job situation.,,
8f47d4f1,,Cooking more,Less anxious,Less anxiety
8f5725c2,More time to spend as I wish.,More time to work on my projects and on my art.,"Income-earning opportunities; more time to devote to interests; and, less pressure to socialize with others.",I have more time to devote to the activities in which I desire to engage.
8f6355e9,,,,
8f678aca,Shopping less,,,Due to my mother-in-law beconig ill then contracting COVD my wife has been with her paretnst helping them.  She went down in March 2020
8f926fe6,,Exercise and getting DIY jobs done at home,"Better work life balance, healthier lifestyle",better work life balance
90081a68,More people hearing our church service on line,,,Stimulus money
90136144,,,,
90309e62,,,,Free Stimulus Money
905b8b93,,more time to focus on myself and my studies,Finding a partner,
90a40bc7,more time at home,,more overtime,more time with family
910be1af,,,,
914c5f80,,Started walking more and lost weight,,A family member is able to work from home and doesn't have to worry about going into the office. Money saved on not having to commute daily.
919fa4a0,,,,
920cb0f7,,,,Better relationship
92150e62,Community spirit,I'm saving more money,Exercising more,
9219eefc,"More time with my daughter, saving money on not going out, decreased greenhouse gas emissions worldwide",,"got a dog, spend more time with my daughter","I became more at home with myself. Comfortable with who I am, away from people and dating."
921bf37e,"keeping busy doing alot of jobs around the house and garden,regular handwashing use of anti bacterial gel,staying at homelgel",managed to get jobs done around the home and garden,"done more artwork,jobs around the houde and gardening","considering health an important issue,and increased sense of community and consideration of others,eating more heathily"
9228cf05,I am appreciating life much more,Appreciate more,,
92311c33,,Greater contact with family,,
926b4530,"Using zoom to speak to friends and family, and clients.  Completing a puzzle at home.",Walking outside every day,Spent more time with husband. More time to decorate house. I'm pregnant so no commuting,"more time outside, more savings, less travel"
928695af,more walking,"more walks in the neighborhood, met neighbors at a distance. people are friendlier, more appreciation for nature","More time for leisure activities like gardening, hiking, and reading",
936d437f,,,,
938a0ed6,Family connects weekly via video call,,"More time for self care, more time for family","Closer to family, more regular contact."
93a31630,,,,More time with family
93d66427,,,,
93dc6391,"Less expenditure, shopping locally",More time with children. Improved community spirit. Improved financial situation due to nursery closure and mortgage holiday.,More savings,Improved financial position
93f5d716,,,,
93f8c383,,,,
941c2a36,"Closer to people, but not physically",Being locked down ,,Less expence
94299659,,,,
945ac4cd,,,,
94a99880,Walking every day,,,
94d2ef02,"Relaxation, spending time with family, cancelled university exams",,"Online teaching, Furlough, Save money","Cancellation of exams, time to realise what's really important and stop taking things for granted"
953f5924,More time to invest in myself,More time for myself,More time for myself,Better relationships and time at home
955ea77c,,,Able to save more,
959a5bfd,,,More money due to less commuting,"Working from home, I have saved a lot of money on fuel and can spend more time with my dog."
95a10a30,,,,
95edcc7f,Looking out and encouraging each other in the neighbourhood,Quieten down a lot,Family time,More time with family at home
9630dcc2,,,,
964414a3,closer family ties,closer links with family,Closer ties with family,Closer relationships
965b189f,Reduced car fuel bill; stopped slot machine gambling,I do not feel like I am constantly on the go.  It is nice to rest.,Family member with a chronic wound healed when we initiated our care of him and doctors were no longer involved.,I have learned how to utilize an online ordering/pick up service
965ff87c,,,,
9665642e,Exercise,Exercise,,
967e939e,Focus on health. Cutting down on fast food. Less drinking. Trying to quit smoking. Regular sleep schedule.,Better diet,"I've rediscovered my love of being outdoor, camping, canoeing,etc",
96a6e9dc,,,,
96ae271e,,,,
9718dcdf,,My partner gets to be with his daughter more in her first year in life.,My partner has gotten to see a lot of milestones in our daughters first months in life.,
971a2306,Friends call me a germaphobe...now they are as well,I'm definitely saving a lot more $$,spending significantly less money,my relationships with my siblings has grown closer
97207b8a,Staying home studying ,Spending more time with my family ,Meeting my parents more often and spending more time with family.,
9728ecdc,,,My household is saving more money and I like the fact that there are a lot more things online now,More online events
97765ae9,,,,I had to move into my parent's house; after a year of being unemployed I was able to find a full time job
979f0109,"I'm more aware of my sleep patterns, eating patterns, etc","My eating has improved, formed closer bonds with friends, more time spent on hobbies","Greater flexibility in learning, more time with family and my partner, more time with my pet",Easier on my finance to live with parents. Better sleep schedule now I don't have to get up early for classes.
97a0e65d,,,,
981c4d6e,,,,
988d9f5d,,,,Managed to save more money
98a20b8d,,Saving a lot of commuting time and getting additional time to spend with family,,
98c34a91,Money from the government.,Stimulus payments,Stimulus payment,Stimulus payments
99532f3c,Losing weight,Losing weight,,Lost weight and got fitter
996c1856,More time at home even when I'm working-can spend lunch with my daughter,People are more helping,Doing family things together more often,
99920056,,Only that the air is cleaner and the sun is brighter.,I gained a new client due to him being furloughed,
999245de,More exercise,"Taking more walks in the area, spending more time with partner","More time with partner, being more mindful, no mindless spending",More time with partner and now work from home permanently
99c5215c,Time spent with family,More time with spouse and children,,
9a0b6910,going out,no work,,
9a4e4591,,,,no commute
9a8c4654,Spending more time with my dogs.,,More hand washing,
9b3f965e,,,,
9b48e420,,,No salespeople at the door.,
9b53eb74,,,,
9bc7d939,yes kids cant go to school,House is now tidy,not seeing family,Value family time more
9c3d6885,,,,
9c5b1656,I have connected by videocall and phone with two friends in the USA that I would not otherwise have had the chance to (because they would not have been spending time at home wanting to catch up). And that meant a lot.,,,
9c7ac807,More hand washing,,More alone time,
9d700cdb,doing more household maintenance,doing jobs long avoided,,
9da0fadf,Less spam calls,"No spam calls, less junk mail",Telephone scammers quit calling,
9dd3a83e,More time with partner,More family time,More time with partner ,More time with partner 
9e27e3d6,,Do more exercise,"More gardening activities, exercises",Do more exercise than before
9e48572f,,,,
9e9b1f4c,,,,
9ec75ed5,Walking more for exercise,"Less consumerism, more exercise",Spending less and exercising outdoors more,I feel more able to live at a slower pace of life and don't feel I need as many material possessions
9f0ca276,"I get more time with my pets, and I spend more time at home instead of traveling for work.",Girlfriend is moving in with me,Girlfriend moved in,"I stopped traveling 100+ nights a year for work, and started working from home.  My girlfriend moved in with me, and a few months ago I purchased a home."
9f296394,,More consideration for others,,
