ID,specifypositive_April2020,specifypositive_May2020,specifypositive_Nov2020,specifypositive_April2021,Corpus,clean_text,char_len,word_len,containsJunkWord,dup_idx,similar_idx,dup_similar_idx,FINAL_CLUSTER_ID,Seed_Q1,Seed_Q2,Dist_to_Center,Cohesion,FREQ,COVERAGE
1175894c,More walking,Eating more vegetables,,,More walking. Eating more vegetables.,walk eat vegetable,37,5,0,['1175894c'],['1175894c'],"('1175894c',)",15,do exercise gardening activity exercise do exercise,get exercise child,0.287,0.767,4,0.4592422502870264
121ecde4,"Spending more time together as a family doing fun thing like baking,playing games and doing some home schooling ",Being at home homeschooling,,Out more walking ,"Spending more time together as a family doing fun thing like baking,playing games and doing some home schooling . Being at home homeschooling.  Out more walking",spend time together family fun thing like bake playing game home schooling home homeschooling walk,160,26,0,['121ecde4'],['121ecde4'],"('121ecde4',)",21,spend time w spouse read spouse work home lunch daily spouse,mu husband get time play child work home husband work home slow peace life manage get work home get spend time family school area close long period time,0.264,0.76,15,1.722158438576349
12230669,,More family time,,spend more family time together now,More family time.  spend more family time together now,family time spend family time together,54,9,0,['12230669'],"['0fd5b77a', '12230669', '39cf2916', '65424974', 'ae3b5411', 'c7564bc3', 'ff29fe6a']","('00769460', '01c706a7', '03c42dd6', '0483c23c', '05ac6d57', '05b27157', '05b7650a', '0b6ab69c', '0df8a425', '0f1a455c', '0fd5b77a', '112d9cb0', '12230669', '1bd369ff', '1e321ed5', '1f9f5f13', '1ffc3964', '2284c657', '28bc0571', '2add64ff', '2b774412', '31046764', '36b6e112', '39cf2916', '3a091643', '40cfa1cd', '4153e4fc', '426e8869', '452ff3b0', '48ad9e68', '4a8874c4', '52905e06', '6089cf25', '61011b9a', '61e9823c', '6244b533', '65424974', '65b49e68', '687d5890', '69519e9a', '6ad0d637', '6b93e5cd', '6f618d37', '6f64bafb', '70dd2716', '72bc0590', '73e01b6f', '79d3fffa', '7a3a4ddb', '7b787546', '7c443e77', '814f7512', '84027b54', '85faef55', '890a2b84', '896a1fe9', '8a1e5483', '8e697aac', '8f926fe6', '90a40bc7', '93a31630', '999245de', '99c5215c', '9dd3a83e', 'a0e741a4', 'a17f412a', 'a1ca12c2', 'ab4a29d7', 'ac03a50f', 'ae3b5411', 'b035d0f1', 'b1c7486f', 'b61bcee3', 'ba13f2c6', 'bd076d97', 'bef796a6', 'c04da2c5', 'c4782c12', 'c638999b', 'c7564bc3', 'ca69d4fa', 'cbf4ad35', 'd03282c8', 'd211aacf', 'd4bd0715', 'd7211e12', 'd747f918', 'd78fde5d', 'da252a67', 'ddab6104', 'ddba36c1', 'ddbfca35', 'df34ae7f', 'e00deb2a', 'e1b11a02', 'e29cef04', 'e3f28c63', 'e40000ec', 'e63e4dfb', 'e7102e13', 'eb6f6fac', 'ec55e6ce', 'ec8aab1c', 'f78de03a', 'f9968550', 'fab5c22d', 'ff29fe6a')",0,improve contact family friend time spend home get lot work do garden,less traffic time spend home result tidy house garden learn cook thing read time take immediate environment which somehow busy enjoy stop amd smell rose take thing less seriously try enjoy what front seek far away place,0.238,0.676,136,15.614236509758898
123ca171,,,Now i dont need to go shopping like i always did before,,Now i dont need to go shopping like i always did before.,do nt need go shop like always,56,12,0,['123ca171'],['123ca171'],"('123ca171',)",36,need careful not near anyone shop 1 time week can not go .. take extra care working must shield time different way work shopping,shopping week click collect supermarket rather call local shop day well meal planning less time commute motorway eat well planned meal,0.317,0.746,8,0.9184845005740528
12ae38b3,,Growing vegetables,An interest in gardening and growing my own food,Growing my own vegetables.,Growing vegetables. An interest in gardening and growing my own food. Growing my own vegetables.,grow vegetable interest gardening grow food grow vegetable,96,15,0,['12ae38b3'],['12ae38b3'],"('12ae38b3',)",37,gardening appreciation gardening,spend time son time kid learn how do gardening,0.317,0.736,8,0.9184845005740528
12f1d120,,,,"Better communication and sense of support between myself, my mother, and my sister","Better communication and sense of support between myself, my mother, and my sister",well communication sense support mother sister,82,13,0,['12f1d120'],['12f1d120'],"('12f1d120',)",29,family connect weekly via video call time self care time family close family regular contact,communicate family,0.373,0.71,15,1.722158438576349
1350da71,more time at home,,More sleep,More me time,more time at home.  More sleep. More me time,time home sleep time,44,9,0,['1350da71'],"['1350da71', 'dec69815']","('1350da71', 'dec69815')",26,time child time teenager,time home sleep time,0.199,0.761,5,0.574052812858783
13a0d4d9,Walking more,"LESS TRAFFIC, MORE ORGANISED SHOPPING",,,"Walking more. LESS TRAFFIC, MORE ORGANISED SHOPPING.",walk less traffic organise shopping,52,7,0,['13a0d4d9'],['13a0d4d9'],"('13a0d4d9',)",36,need careful not near anyone shop 1 time week can not go .. take extra care working must shield time different way work shopping,shopping week click collect supermarket rather call local shop day well meal planning less time commute motorway eat well planned meal,0.228,0.746,8,0.9184845005740528
148f41f5,Neighbours are talking a lot more and checking if we all have everything we need (while maintaining distance),"Less traffic, air feels cleaner.",I'm doing a lot more yoga,Closer to family,"Neighbours are talking a lot more and checking if we all have everything we need (while maintaining distance). Less traffic, air feels cleaner.. I'm doing a lot more yoga. Closer to family",neighbour talk lot check everything need maintain distance less traffic air feel clean .. lot yoga close family,188,32,0,['148f41f5'],['148f41f5'],"('148f41f5',)",30,time cook exercise less traffic noise walk around local area often reduce emission easy attend appointment etc work day less time spend commute commute increase time do thing home,less pollution less work related stress save money free time,0.268,0.726,13,1.492537313432836
151dc4f1,,,full time employment,Full time employment for more than an year.,full time employment. Full time employment for more than an year.,full time employment full time employment year,65,11,0,['151dc4f1'],['151dc4f1'],"('151dc4f1',)",38,full time employment full time employment year,full time employment full time employment year,0.0,0.0,1,0.1148105625717566
153c0a3c,More time to work at home because I'm not going anywhere at all,Able to train (running) more due to not commuting,"Incredibly, during the shutdown I had time to resume running, and am back up to 30 miles per week.  Also, people are now focused on their health, so I'm selling large amounts of vitamins.","in 2020, due to distance learning, I had more time, and was able to get back to running 33 miles/week","More time to work at home because I'm not going anywhere at all. Able to train (running) more due to not commuting. Incredibly, during the shutdown I had time to resume running, and am back up to 30 miles per week.  Also, people are now focused on their health, so I'm selling large amounts of vitamins.. in 2020, due to distance learning, I had more time, and was able to get back to running 33 miles/week",time work home not go anywhere able train run due not commute incredibly shutdown time resume run back 30 mile per week also people focus their health sell large amount vitamin .. 2020 due distance learn time able get back run 33 mile week,406,76,0,['153c0a3c'],['153c0a3c'],"('153c0a3c',)",39,able concentrate help other think other well work life balance due much reduce commuting,even physically active take care mental health .. got work social isolation,0.308,0.696,12,1.3777267508610793
1557d8f9,,,Fitness,Fitness,Fitness. Fitness,fitness fitness,16,2,0,['1557d8f9'],['1557d8f9'],"('1557d8f9',)",25,exercise home read learn new skill learn new skillset,exercise perform personal task time study course material learn something new,0.36,0.737,7,0.8036739380022963
15dd865d,,Have loved in with parents,More time to spend with familiy,More time spent with family,Have loved in with parents. More time to spend with familiy. More time spent with family,loved parent time spend familiy time spend family,88,16,0,['15dd865d'],['15dd865d'],"('15dd865d',)",40,community spirit neighbour come together help time family .. family time family time reduce travel family time,loved parent time spend familiy time spend family,0.254,0.689,11,1.2629161882893227
16942fae,"Empty roads, peace and quiet, no aeroplanes ","Peace and quiet, less road traffic, families doing things together.",,,"Empty roads, peace and quiet, no aeroplanes . Peace and quiet, less road traffic, families doing things together..",empty road peace quiet aeroplane peace quiet less road traffic familie thing together ..,114,18,0,['16942fae'],['16942fae'],"('16942fae',)",40,community spirit neighbour come together help time family .. family time family time reduce travel family time,loved parent time spend familiy time spend family,0.39,0.689,11,1.2629161882893227
16999d45,,Cutting down on expenses ,I spend less money now,I spend less money eating out.,Cutting down on expenses . I spend less money now. I spend less money eating out.,cut expense spend less money spend less money eat,81,16,0,['16999d45'],['16999d45'],"('16999d45',)",34,spend less,save lot money save lot money,0.29,0.714,13,1.492537313432836
16e1b932,,"Less pollution, seeing more wildlife",enjoying time at home,Been able to slow down and appreciate things I took for granted,"Less pollution, seeing more wildlife. enjoying time at home. Been able to slow down and appreciate things I took for granted",less pollution see wildlife enjoy time home able slow appreciate thing took grant,124,21,0,['16e1b932'],['16e1b932'],"('16e1b932',)",18,low pollution low traffic wildlife .. reduce traffic well air quality low noise pollution,less pollution less pollution less income,0.243,0.82,8,0.9184845005740528
16f0fd3d,More hand washing and awarenss of virus spread and how to avoid it,,,,More hand washing and awarenss of virus spread and how to avoid it.,hand washing awarens virus spread how avoid,67,13,0,['16f0fd3d'],['16f0fd3d'],"('16f0fd3d',)",41,spend time family member well hygiene habit wash hand often ..,disinfect often well hygiene handwash washing hand often sanitize surface often,0.27,0.812,6,0.6888633754305397
170e73ea,,"thinking, quiet, reading , meditation",,,"thinking, quiet, reading , meditation.",think quiet read meditation,38,5,0,['170e73ea'],['170e73ea'],"('170e73ea',)",9,relaxation walk read time relax indulge read tv garden etc relaxation time walk open air,think quiet read meditation,0.218,0.707,8,0.9184845005740528
176486a2,much slower pace of life,calmer,Less tired,"Acceptance of doing less, and being introverted","much slower pace of life. calmer. Less tired. Acceptance of doing less, and being introverted",much slow pace life calm less tired acceptance less introverted,93,15,0,['176486a2'],['176486a2'],"('176486a2',)",33,regular lifestyle slow pace life change priority introspection money concentration work,financial uncertainty gratitude life time stocktake reprioritise improve relationship well life balance,0.408,0.66,13,1.492537313432836
176c5c5b,,,"My husband has been gone during my maternity leave, so we have equal time with the baby","Saved some money, husband was home as well during maternity leave","My husband has been gone during my maternity leave, so we have equal time with the baby. Saved some money, husband was home as well during maternity leave",husband go maternity leave equal time baby save money husband home well maternity leave,154,28,0,['176c5c5b'],['176c5c5b'],"('176c5c5b',)",10,really like work home spending time husband much less stress work love work home spending time husband save money by not commute,get work home like get work home .. work home love work home which love,0.297,0.747,7,0.8036739380022963
176e04e7,,,,I wouldn't have started at the career I'm at now (pharmacy technician) if not for COVID,I wouldn't have started at the career I'm at now (pharmacy technician) if not for COVID,would not start career pharmacy technician not covid,87,16,0,['176e04e7'],['176e04e7'],"('176e04e7',)",42,time do thing home would not time do covid 19 teach plan ahead,due anxiety would rather stay home covid 19 provide good excuse do not feel pressure leave house do thing train course volunteer,0.415,0.68,5,0.574052812858783
1807dbc5,There is more sense of community with people trying to help each other.,There seems to be a greater sense of community and a 'we're all in this together spirit',"Spent more time with my family, enjoyed more hobbies, I have spent less money",Financially better off,"There is more sense of community with people trying to help each other.. There seems to be a greater sense of community and a 'we're all in this together spirit'. Spent more time with my family, enjoyed more hobbies, I have spent less money. Financially better off",sense community people try help .. seem great sense community together spirit spend time family enjoy hobby spend less money financially well,264,47,0,['1807dbc5'],['1807dbc5'],"('1807dbc5',)",13,spend time family home community pull together,volunteer help community slow stay home,0.187,0.753,8,0.9184845005740528
195d6fcb,More frequent communication with my mother. Upcoming Stimulus payment,increasded communication with family members,Temporary housing became more available.,Improved income due to pandemic unemployment assistance and stimuluses. Possibilities for improved housing assistance.,More frequent communication with my mother. Upcoming Stimulus payment. increasded communication with family members. Temporary housing became more available.. Improved income due to pandemic unemployment assistance and stimuluses. Possibilities for improved housing assistance.,frequent communication mother upcoming stimulus payment increasde communication family member temporary housing become available .. improved income due pandemic unemployment assistance stimulus possibility improve housing assistance,277,33,0,['195d6fcb'],['195d6fcb'],"('195d6fcb',)",43,money government .. stimulus payment stimulus payment stimulus payment,federal stimulus check study mturk prolific ..,0.283,0.769,10,1.148105625717566
196d1e37,Time for self-reflection and re-connectedness with the nature,"reconnectedness with the nature, appreciation of life, more time for self-reflection, and avoiding overcrowded buses or trains when I had to commute to work","Appreciation of, and connectedness to nature",Appreciation of nature,"Time for self-reflection and re-connectedness with the nature. reconnectedness with the nature, appreciation of life, more time for self-reflection, and avoiding overcrowded buses or trains when I had to commute to work. Appreciation of, and connectedness to nature. Appreciation of nature",time self reflection re connectedness nature reconnectedness nature appreciation life time self reflection avoid overcrowded bus train when commute work appreciation connectedness nature appreciation nature,289,41,0,['196d1e37'],['196d1e37'],"('196d1e37',)",39,able concentrate help other think other well work life balance due much reduce commuting,even physically active take care mental health .. got work social isolation,0.319,0.696,12,1.3777267508610793
19c40738,,"Exercising more, performing more personal tasks",More time to study course materials to learn something new,,"Exercising more, performing more personal tasks. More time to study course materials to learn something new.",exercise perform personal task time study course material learn something new,108,16,0,['19c40738'],['19c40738'],"('19c40738',)",25,exercise home read learn new skill learn new skillset,exercise perform personal task time study course material learn something new,0.196,0.737,7,0.8036739380022963
1a0b9af7,,,,I am able to work from home which I find better than working from the office,I am able to work from home which I find better than working from the office,able work home which find well working office,76,16,0,['1a0b9af7'],"['1a0b9af7', '340aab4b']","('1a0b9af7', '340aab4b')",44,work remotely work home work home work remotely,demonstrate feasibility work remotely ability work remotely work home good experience .. work remotely full time,0.287,0.684,10,1.148105625717566
1a0d014a,Started diet,,"spending less, doing more activities like crafts, reading more","Cooking at home, cleaning, washing hands more, saving more","Started diet.  spending less, doing more activities like crafts, reading more. Cooking at home, cleaning, washing hands more, saving more",start diet spending less activity like craft read cook home clean wash hand save,137,20,0,['1a0d014a'],['1a0d014a'],"('1a0d014a',)",45,exercise eat less snack .. exercise eat well gardening .. self care get well .. help change focus not around lot people give positive perspective love time make craft,weight loss well eat sleep habit less alcohol ve take well care health increase attention health exercise diet time hobby,0.197,0.807,10,1.148105625717566
1a541e3b,Working out at home and catching up with friends through video chat,More home workouts,family time,working from home,Working out at home and catching up with friends through video chat. More home workouts. family time. working from home,work home catch friend video chat home workout family time work home,119,20,0,['1a541e3b'],['1a541e3b'],"('1a541e3b',)",0,improve contact family friend time spend home get lot work do garden,less traffic time spend home result tidy house garden learn cook thing read time take immediate environment which somehow busy enjoy stop amd smell rose take thing less seriously try enjoy what front seek far away place,0.303,0.676,136,15.614236509758898
1a725420,More time with my husband and time to spend with God,Spending more time with my husband,More time to think and process.,Deeper relationships,More time with my husband and time to spend with God. Spending more time with my husband. More time to think and process.. Deeper relationships,time husband time spend god spend time husband time think process .. deep relationship,143,25,0,['1a725420'],['1a725420'],"('1a725420',)",46,time hobby time together husband,time invest time time well relationship time home,0.256,0.704,10,1.148105625717566
1a7e3ece,,,MORE EXERCISE,,MORE EXERCISE.,exercise,14,2,0,"['1a7e3ece', '5f0dc810', 'd013c445', 'd18a8a5f']","['1a7e3ece', '9665642e', 'd44a8505']","('07c18654', '0cf6d4d9', '114578a1', '1a7e3ece', '1d5f2287', '3fe3190f', '401bf43e', '5965630a', '5f0dc810', '63f030c8', '670a41e2', '7df82da0', '81ed0607', '9665642e', 'a443da96', 'b5cb55ee', 'b73f6dd8', 'c7b02690', 'c97a4889', 'cfc9506b', 'd013c445', 'd18a8a5f', 'd44a8505', 'f1570e37')",19,run lot usual .. time exercise time exercise,regular daily exercise,0.221,0.759,33,3.788748564867968
1ba01db0,"Taking things slower, time to pursue hobbies",slowed down,,Slowed down,"Taking things slower, time to pursue hobbies. slowed down.  Slowed down",take thing slow time pursue hobby slow slow,71,11,0,['1ba01db0'],['1ba01db0'],"('1ba01db0',)",47,leisure time focus hobby self look introspectively time pursue hobby outlook life develop hobby time,take new hobby find way pass time .. give time practice self care time hobby well,0.285,0.718,15,1.722158438576349
1bcac18d,"Time at home to catch up, speaking to friends I havent spoken to for a long time.  My partner lives in Manchester but was here when lockdown started so is still here","Getting lots done at home, my partner who lives in Manchester being here with me",,,"Time at home to catch up, speaking to friends I havent spoken to for a long time.  My partner lives in Manchester but was here when lockdown started so is still here. Getting lots done at home, my partner who lives in Manchester being here with me.",time home catch speak friend nt speak long time partner live manchester when lockdown started still get lot do home partner who live manchester,248,47,0,['1bcac18d'],['1bcac18d'],"('1bcac18d',)",48,notice nature clear sky less traffic quiet street why can not like time start walk day since start first lockdown,our son return home live us lockdown our son spend current lockdown live we rather stay london our son move back home duration previous lockdown .. son come live we 2020 not stay lock london,0.225,0.753,4,0.4592422502870264
1bd369ff,I get to spend more time with my family,,Spend time with family,more time with family,I get to spend more time with my family.  Spend time with family. more time with family,get spend time family spend time family time family,87,17,0,['1bd369ff'],"['00769460', '0fd5b77a', '12230669', '1bd369ff', '31046764', '39cf2916', '61011b9a', '6244b533', '65424974', '65b49e68', '72bc0590', 'b61bcee3', 'd747f918', 'd78fde5d']","('00769460', '01c706a7', '03c42dd6', '0483c23c', '05ac6d57', '05b27157', '05b7650a', '0b6ab69c', '0df8a425', '0f1a455c', '0fd5b77a', '112d9cb0', '12230669', '1bd369ff', '1e321ed5', '1f9f5f13', '1ffc3964', '2284c657', '28bc0571', '2add64ff', '2b774412', '31046764', '36b6e112', '39cf2916', '3a091643', '40cfa1cd', '4153e4fc', '426e8869', '452ff3b0', '48ad9e68', '4a8874c4', '52905e06', '6089cf25', '61011b9a', '61e9823c', '6244b533', '65424974', '65b49e68', '687d5890', '69519e9a', '6ad0d637', '6b93e5cd', '6f618d37', '6f64bafb', '70dd2716', '72bc0590', '73e01b6f', '79d3fffa', '7a3a4ddb', '7b787546', '7c443e77', '814f7512', '84027b54', '85faef55', '890a2b84', '896a1fe9', '8a1e5483', '8e697aac', '8f926fe6', '90a40bc7', '93a31630', '999245de', '99c5215c', '9dd3a83e', 'a0e741a4', 'a17f412a', 'a1ca12c2', 'ab4a29d7', 'ac03a50f', 'ae3b5411', 'b035d0f1', 'b1c7486f', 'b61bcee3', 'ba13f2c6', 'bd076d97', 'bef796a6', 'c04da2c5', 'c4782c12', 'c638999b', 'c7564bc3', 'ca69d4fa', 'cbf4ad35', 'd03282c8', 'd211aacf', 'd4bd0715', 'd7211e12', 'd747f918', 'd78fde5d', 'da252a67', 'ddab6104', 'ddba36c1', 'ddbfca35', 'df34ae7f', 'e00deb2a', 'e1b11a02', 'e29cef04', 'e3f28c63', 'e40000ec', 'e63e4dfb', 'e7102e13', 'eb6f6fac', 'ec55e6ce', 'ec8aab1c', 'f78de03a', 'f9968550', 'fab5c22d', 'ff29fe6a')",0,improve contact family friend time spend home get lot work do garden,less traffic time spend home result tidy house garden learn cook thing read time take immediate environment which somehow busy enjoy stop amd smell rose take thing less seriously try enjoy what front seek far away place,0.238,0.676,136,15.614236509758898
1cae16ed,Community spirit,Community spirit and better relationships with neighbours,Got fitter by working at at home and cooking more meals,Community spirit and relationship with my son,Community spirit. Community spirit and better relationships with neighbours. Got fitter by working at at home and cooking more meals. Community spirit and relationship with my son,community spirit community spirit well relationship neighbour get fitter by work home cooking meal community spirit relationship son,179,27,0,['1cae16ed'],['1cae16ed'],"('1cae16ed',)",14,well community spirit people partnership improve life work relationship work home,bring family close well relationship kid much well balance work personal life workingfrom home time family time well wellbeing,0.274,0.72,10,1.148105625717566
1d3f0c91,"Reading more, learning Spanish, playing guitar",Being able to save money,,,"Reading more, learning Spanish, playing guitar. Being able to save money.",read learn spanish play guitar able save money,73,11,0,['1d3f0c91'],['1d3f0c91'],"('1d3f0c91',)",34,spend less,save lot money save lot money,0.459,0.714,13,1.492537313432836
1d5f2287,,More exercise etc,,,More exercise etc.,exercise etc,18,3,0,['1d5f2287'],"['1a7e3ece', '1d5f2287', '3fe3190f', '81ed0607', '9665642e', 'a443da96', 'b5cb55ee', 'c7b02690', 'd44a8505']","('07c18654', '0cf6d4d9', '114578a1', '1a7e3ece', '1d5f2287', '3fe3190f', '401bf43e', '5965630a', '5f0dc810', '63f030c8', '670a41e2', '7df82da0', '81ed0607', '9665642e', 'a443da96', 'b5cb55ee', 'b73f6dd8', 'c7b02690', 'c97a4889', 'cfc9506b', 'd013c445', 'd18a8a5f', 'd44a8505', 'f1570e37')",19,run lot usual .. time exercise time exercise,regular daily exercise,0.221,0.759,33,3.788748564867968
1da9ec41,More conscious of health and looking after myself with healthier diet and exercise,More community spirit with neighbours & walking more for my daily exercise,Increased exercise,"More time with my husband, increased exercise, more community spirit on our street","More conscious of health and looking after myself with healthier diet and exercise. More community spirit with neighbours & walking more for my daily exercise. Increased exercise. More time with my husband, increased exercise, more community spirit on our street",conscious health look healthy diet exercise community spirit neighbour walk daily exercise increase exercise time husband increase exercise community spirit our street,262,40,0,['1da9ec41'],"['1da9ec41', '28272f23']","('1da9ec41', '28272f23')",45,exercise eat less snack .. exercise eat well gardening .. self care get well .. help change focus not around lot people give positive perspective love time make craft,weight loss well eat sleep habit less alcohol ve take well care health increase attention health exercise diet time hobby,0.194,0.807,10,1.148105625717566
1dc217e8,spending more time with family at home,spending more time with family at home. Not having to travel to work,Work life balance is better now that I work from home more. Less tarvelling time and at home when my daughter comes home from high school. We spend a lot more time as a family together too,I am able to work form home now providing a better work life balance,spending more time with family at home. spending more time with family at home. Not having to travel to work. Work life balance is better now that I work from home more. Less tarvelling time and at home when my daughter comes home from high school. We spend a lot more time as a family together too. I am able to work form home now providing a better work life balance,spend time family home spending time family home not travel work work life balance well work home less tarvelling time home when daughter come home high school spend lot time family together able work form home provide well work life balance,368,71,0,['1dc217e8'],"['1dc217e8', '50993419']","('1dc217e8', '50993419')",24,time family less stress pressure busy relaxed lifestyle time immediate family our household family harmony time family ability reassess focus what important reduce stress anxiety long commute time home child less rush around mean time choose how use time e.g. discover love gardening,renew focus important thing slow pace life time spend son .. prioritise family health build work debt work life balance home improvement regular contact family,0.23,0.75,16,1.8369690011481057
1deee505,More exercise,"More exercise, more community awareness",More exercise,I have exercised more,"More exercise. More exercise, more community awareness. More exercise. I have exercised more",exercise exercise community awareness exercise exercise,92,13,0,['1deee505'],['1deee505'],"('1deee505',)",15,do exercise gardening activity exercise do exercise,get exercise child,0.246,0.767,4,0.4592422502870264
1e321ed5,Time with family,More family time,more time with family,,Time with family. More family time. more time with family.,time family family time time family,58,10,0,['1e321ed5'],"['1e321ed5', '2284c657', '65b49e68', '896a1fe9', 'ae3b5411', 'bd076d97', 'ddab6104', 'ec55e6ce', 'f78de03a', 'f9968550']","('00769460', '01c706a7', '03c42dd6', '0483c23c', '05ac6d57', '05b27157', '05b7650a', '0b6ab69c', '0df8a425', '0f1a455c', '0fd5b77a', '112d9cb0', '12230669', '1bd369ff', '1e321ed5', '1f9f5f13', '1ffc3964', '2284c657', '28bc0571', '2add64ff', '2b774412', '31046764', '36b6e112', '39cf2916', '3a091643', '40cfa1cd', '4153e4fc', '426e8869', '452ff3b0', '48ad9e68', '4a8874c4', '52905e06', '6089cf25', '61011b9a', '61e9823c', '6244b533', '65424974', '65b49e68', '687d5890', '69519e9a', '6ad0d637', '6b93e5cd', '6f618d37', '6f64bafb', '70dd2716', '72bc0590', '73e01b6f', '79d3fffa', '7a3a4ddb', '7b787546', '7c443e77', '814f7512', '84027b54', '85faef55', '890a2b84', '896a1fe9', '8a1e5483', '8e697aac', '8f926fe6', '90a40bc7', '93a31630', '999245de', '99c5215c', '9dd3a83e', 'a0e741a4', 'a17f412a', 'a1ca12c2', 'ab4a29d7', 'ac03a50f', 'ae3b5411', 'b035d0f1', 'b1c7486f', 'b61bcee3', 'ba13f2c6', 'bd076d97', 'bef796a6', 'c04da2c5', 'c4782c12', 'c638999b', 'c7564bc3', 'ca69d4fa', 'cbf4ad35', 'd03282c8', 'd211aacf', 'd4bd0715', 'd7211e12', 'd747f918', 'd78fde5d', 'da252a67', 'ddab6104', 'ddba36c1', 'ddbfca35', 'df34ae7f', 'e00deb2a', 'e1b11a02', 'e29cef04', 'e3f28c63', 'e40000ec', 'e63e4dfb', 'e7102e13', 'eb6f6fac', 'ec55e6ce', 'ec8aab1c', 'f78de03a', 'f9968550', 'fab5c22d', 'ff29fe6a')",0,improve contact family friend time spend home get lot work do garden,less traffic time spend home result tidy house garden learn cook thing read time take immediate environment which somehow busy enjoy stop amd smell rose take thing less seriously try enjoy what front seek far away place,0.238,0.676,136,15.614236509758898
1e3689e3,Starting later in my job,Less pollution,,Quieter roads,Starting later in my job. Less pollution.  Quieter roads,start later job less pollution quiet road,56,9,0,['1e3689e3'],['1e3689e3'],"('1e3689e3',)",30,time cook exercise less traffic noise walk around local area often reduce emission easy attend appointment etc work day less time spend commute commute increase time do thing home,less pollution less work related stress save money free time,0.28,0.726,13,1.492537313432836
1ef0a072,Less traffic ,Less traffic!,Community spirit,Different view of life. Closer community.,Less traffic . Less traffic!. Community spirit. Different view of life. Closer community.,less traffic less traffic community spirit different view life close community,89,13,0,['1ef0a072'],['1ef0a072'],"('1ef0a072',)",40,community spirit neighbour come together help time family .. family time family time reduce travel family time,loved parent time spend familiy time spend family,0.372,0.689,11,1.2629161882893227
1f12b27e,"Husband working from home, cooking more",,,,"Husband working from home, cooking more.",husband work home cook,40,6,0,['1f12b27e'],['1f12b27e'],"('1f12b27e',)",23,currently work home spend money food working hour,less waste food save money spend time child work home option able work home day,0.267,0.734,13,1.492537313432836
1f4edae5,Time to relax at home is a rare thing,More time at home,Working from home is better for my mental health and given me more time to focus on hobbies exercising and being healthier overall,"Working from home so improved work life balance, happier, less anxious, less crowded trains","Time to relax at home is a rare thing. More time at home. Working from home is better for my mental health and given me more time to focus on hobbies exercising and being healthier overall. Working from home so improved work life balance, happier, less anxious, less crowded trains",time relax home rare thing time home work home well mental health give time focus hobby exercise healthy overall work home improve work life balance happy less anxious less crowded train,281,50,0,['1f4edae5'],"['1f4edae5', 'f7feadc1']","('0a0f9b59', '1f4edae5', '1f923242', 'b7263027', 'f7feadc1')",2,work home confine home spending less money save money long commute,work home work home home improvement do less commuting home work,0.222,0.73,28,3.214695752009185
1f923242,Working from home,"Working from home, more rested",Better work life balance due to less commuting,Shorter commute time,"Working from home. Working from home, more rested. Better work life balance due to less commuting. Shorter commute time",work home work home rest well work life balance due less commuting short commute time,119,19,0,['1f923242'],"['0a0f9b59', '1f923242']","('0a0f9b59', '1f4edae5', '1f923242', 'b7263027', 'f7feadc1')",2,work home confine home spending less money save money long commute,work home work home home improvement do less commuting home work,0.222,0.73,28,3.214695752009185
1f9f5f13,Family time,spending time with family,Working from home,Quality time with child,Family time. spending time with family. Working from home. Quality time with child,family time spending time family work home quality time child,82,13,0,['1f9f5f13'],"['1f9f5f13', 'ac03a50f', 'e40000ec']","('00769460', '01c706a7', '03c42dd6', '0483c23c', '05ac6d57', '05b27157', '05b7650a', '0b6ab69c', '0df8a425', '0f1a455c', '0fd5b77a', '112d9cb0', '12230669', '1bd369ff', '1e321ed5', '1f9f5f13', '1ffc3964', '2284c657', '28bc0571', '2add64ff', '2b774412', '31046764', '36b6e112', '39cf2916', '3a091643', '40cfa1cd', '4153e4fc', '426e8869', '452ff3b0', '48ad9e68', '4a8874c4', '52905e06', '6089cf25', '61011b9a', '61e9823c', '6244b533', '65424974', '65b49e68', '687d5890', '69519e9a', '6ad0d637', '6b93e5cd', '6f618d37', '6f64bafb', '70dd2716', '72bc0590', '73e01b6f', '79d3fffa', '7a3a4ddb', '7b787546', '7c443e77', '814f7512', '84027b54', '85faef55', '890a2b84', '896a1fe9', '8a1e5483', '8e697aac', '8f926fe6', '90a40bc7', '93a31630', '999245de', '99c5215c', '9dd3a83e', 'a0e741a4', 'a17f412a', 'a1ca12c2', 'ab4a29d7', 'ac03a50f', 'ae3b5411', 'b035d0f1', 'b1c7486f', 'b61bcee3', 'ba13f2c6', 'bd076d97', 'bef796a6', 'c04da2c5', 'c4782c12', 'c638999b', 'c7564bc3', 'ca69d4fa', 'cbf4ad35', 'd03282c8', 'd211aacf', 'd4bd0715', 'd7211e12', 'd747f918', 'd78fde5d', 'da252a67', 'ddab6104', 'ddba36c1', 'ddbfca35', 'df34ae7f', 'e00deb2a', 'e1b11a02', 'e29cef04', 'e3f28c63', 'e40000ec', 'e63e4dfb', 'e7102e13', 'eb6f6fac', 'ec55e6ce', 'ec8aab1c', 'f78de03a', 'f9968550', 'fab5c22d', 'ff29fe6a')",0,improve contact family friend time spend home get lot work do garden,less traffic time spend home result tidy house garden learn cook thing read time take immediate environment which somehow busy enjoy stop amd smell rose take thing less seriously try enjoy what front seek far away place,0.238,0.676,136,15.614236509758898
